City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,peterhead,57.5058,-1.7981,9.26,70,95,12.27,GB,1727426874
297,point pedro,9.8167,80.2333,31.48,61,51,2.97,LK,1727426875
298,mount pearl,47.5166,-52.7813,10.64,97,75,1.79,CA,1727426877
299,clear lake,43.138,-93.3794,13.31,75,0,1.84,US,1727426878
300,puerto leguizamo,-0.1934,-74.7819,21.36,96,90,1.21,CO,1727426880
301,margherita,27.2833,95.6833,26.93,92,92,0.49,IN,1727426881
302,hulan,45.9833,126.6,16.58,59,95,2.97,CN,1727426882
303,chifeng,42.2683,118.9636,20.35,60,6,2.67,CN,1727426884
304,krivosheino,57.3431,83.9261,4.79,73,100,3.37,RU,1727426885
305,kiffa,16.6166,-11.4045,30.35,56,100,4.73,MR,1727426886
306,thinadhoo,0.5333,72.9333,28.35,77,100,6.8,MV,1727426888
307,spring creek,40.7266,-115.5859,14.34,23,0,1.69,US,1727426889
308,zhezqazghan,47.7833,67.7667,14.32,23,0,5.0,KZ,1727426891
309,pueblo nuevo,23.3833,-105.3833,11.57,71,11,3.77,MX,1727426892
310,cooma,-36.2333,149.1333,4.67,85,0,2.09,AU,1727426893
311,aconibe,1.2968,10.9369,21.34,95,100,0.98,GQ,1727426895
312,hsinchu,24.8036,120.9686,28.83,75,27,2.24,TW,1727426896
313,macclenny,30.2822,-82.1221,27.2,86,100,7.8,US,1727426679
314,vangaindrano,-23.35,47.6,27.4,56,4,4.96,MG,1727426899
315,luderitz,-26.6481,15.1594,23.36,42,98,8.27,NA,1727426900
316,bunawan,8.1667,126.0833,24.93,97,79,1.08,PH,1727426902
317,mundybash,53.211,87.2983,2.38,98,100,2.53,RU,1727426903
318,semnan,35.5729,53.3971,24.78,35,31,4.05,IR,1727426904
319,beira,-19.8436,34.8389,27.05,74,40,4.12,MZ,1727426906
320,magadan,59.5667,150.8,5.37,85,8,2.81,RU,1727426907
321,malvan,16.0667,73.4667,28.0,82,100,6.81,IN,1727426909
322,talcahuano,-36.7167,-73.1167,5.82,93,0,1.03,CL,1727426910
